Name,Country,Position,Age,Overall_Rating,Future Potential,Team,Value Per M$,Total_Stats Score
Gianfranco Peña,Colombia,ST,21,65,75,Atlético Nacional,1.6,1516
Jake Rooney,England,RB,18,60,73,Derby County,0.525,1547
Osama Al Mermish,Saudi Arabia,GK,18,51,66,Al Ittihad,0.12,862
Noureddine El Bahhar,Egypt,CM,18,53,69,Al Ittihad,0.24,1413
Mattia Chiesa,Italy,GK,21,65,73,Hellas Verona,1.4,1108
Abdulrahman Saad,Saudi Arabia,CAM,20,49,61,Al Batin,0.11,1256
Jorge Daniel González,Paraguay,CB,25,63,66,Guabirá,0.575,1462
Jacob Slater,Republic of Ireland,LB,17,56,76,Preston North End,0.375,1432
Téva Gardies,France,GK,21,53,62,Paris,0.18,794
Ibrahim Jamal,Sudan,CB,19,48,63,Al Batin,0.1,1100
Turki Al Dhafeeri,Saudi Arabia,LW,19,47,59,Al Batin,0.11,1245
Xiaofeng Wang,China PR,GK,21,48,53,Wuhan Three Towns,0.06,780
Cornel Ene,Romania,CB,28,60,61,Hermannstadt,0.23,1294
Rassambek Akhmatov,Russia,CDM,26,63,66,Chindia Târgovişte,0.575,1645
Federico Pace,Italy,LB,22,59,65,Brescia,0.35,1482
Jack Hinchy,England,CDM,19,53,68,Brighton & Hove Albion,0.22,1456
Amadej Maroša,Slovenia,ST,28,62,62,Górnik Zabrze,0.4,1443
Beka Dartsmelia,Georgia,CDM,22,64,70,Newcastle Jets,0.925,1718
Aqeel Al Dhafeeri,Saudi Arabia,CB,17,46,63,Al Batin,0.11,1089
Enrico Celeghin,Italy,CDM,23,59,66,Como,0.45,1522
Heine Gikling Bruseth,Norway,CM,18,53,71,Kristiansund,0.24,1385
Denys Bunchukov,Ukraine,CDM,19,56,70,RFC Seraing,0.35,1530
Jordi Ortega Lluch,Spain,CM,19,57,73,Villarreal II,0.425,1543
Wally Njie,Norway,ST,19,55,71,Sandefjord,0.325,1314
James McManus,Republic of Ireland,CDM,17,56,69,Bohemians,0.3,1553
Erison Danilo de Souza,Brazil,ST,23,70,76,Estoril,2.5,1640
Leonardo da Costa Bolgado,Brazil,CB,23,66,70,Casa Pia,1.1,1497
Kanji Okunuki,Japan,CF,22,63,68,Górnik Zabrze,0.75,1567
Hamza Mouali,Algeria,LWB,24,62,67,Laval,0.55,1552
Miguel Ángel Ruiz Herráiz,Spain,CAM,20,59,70,Villarreal II,0.475,1561
Drew Baker,England,CB,19,55,63,Bohemians,0.25,1314
Kevin Parra,Colombia,CAM,19,60,72,Atlético Nacional,0.575,1490
Brahian Palacios,Colombia,RM,19,63,78,Atlético Nacional,1.1,1571
Juan Arias,Colombia,CB,18,60,75,Atlético Nacional,0.525,1325
Kilian Toscano,Colombia,RM,18,58,70,Atlético Nacional,0.475,1399
Ali Al Shuhayb,Saudi Arabia,GK,21,50,58,Al Fateh,0.09,804
Mohammed Al Yami,Saudi Arabia,CB,20,55,66,Al Shabab,0.25,1435
Hussain Sibyani,Saudi Arabia,LB,21,53,63,Al Shabab,0.2,1334
Ștefan Mușat,Romania,GK,21,51,63,SSC Farul,0.13,907
Milan Pavkov,Serbia,ST,28,70,70,Al Feiha,1.6,1616
Adam Vlkanova,Czech Republic,RM,27,74,74,Viktoria Plzeň,4.5,1825
Berkay Vardar,Turkey,CB,19,63,75,Beşiktaş,1.1,1605
Saidu Salisu,Nigeria,ST,20,56,69,IFK Göteborg,0.35,1321
Diego Gustavo Rodrigues de Lima,Brazil,CAM,18,59,71,FC Volendam,0.525,1559
Dinis L. Casals Pinto,Portugal,RB,21,62,71,Sporting Braga,0.85,1603
Edarlyn Reyes,Dominican Republic,RW,24,67,70,Always Ready,1.4,1564
Alan Paredes,Paraguay,LB,21,64,72,Olimpia,1.3,1673
Valentín Sánchez,Argentina,CM,20,63,72,Huracán,1.1,1678
Yllan Okou,France,CB,19,63,79,Monaco,1.2,1490
Víctor Wehbi Aznar Ussen,Brazil,GK,19,62,75,Cádiz,0.825,1035
Pape Samba Thiam,Senegal,ST,20,57,67,Benevento,0.375,1317
Bruno Onyemaechi,Nigeria,CB,23,69,76,Boavista,2.7,1691
Alessandro Arioli,Italy,ST,19,53,65,Cosenza,0.22,1291
Jack Endacott,England,LWB,17,53,64,Plymouth Argyle,0.18,1347
Ryan Carr,England,CM,17,50,60,Carlisle United,0.1,1395
Hilmir Rafn Mikaelsson,Iceland,ST,18,57,71,Tromsø,0.375,1410
Giovanni Giunti,Italy,CM,17,51,64,Perugia,0.13,1427
Kadir Seven,Turkey,CB,19,56,68,Giresunspor,0.325,1319
Fabricio Oviedo,Argentina,ST,18,61,74,Rosario Central,0.775,1551
Mattia Motolese,Italy,CB,18,57,72,Bologna,0.35,1321
Maissa Ndiaye,Senegal,CB,20,57,68,Cremonese,0.325,1375
Brian Jepthe Bayeye,France,RWB,22,62,68,Torino,0.65,1732
Sebastian Wade,England,LB,19,62,75,Torino,0.9,1492
Bonfils-Caleb Bimenyimana,Burundi,ST,24,64,68,Kaizer Chiefs,0.85,1508
Raymond Owusu,Ghana,ST,20,60,67,İstanbulspor,0.5,1492
Marin Karamarko,Croatia,CB,24,62,67,Hartberg,0.55,1339
Eylon Almog,Israel,RM,23,65,70,Hartberg,1.1,1652
Juan Pedro Navarro Valverde,Spain,GK,23,58,64,Elche,0.25,907
Adrián González Moyano,Spain,GK,22,61,70,Sevilla,0.65,918
Tomás Romero Cejudo,Spain,GK,19,57,72,Albacete,0.35,919
Carlos López Nogueras,Spain,GK,17,60,76,Málaga,0.55,962
Àlex Baño Canellas,Spain,GK,22,59,67,Ponferradina,0.45,906
Joel Persson,Sweden,ST,19,62,75,Lecce,0.95,1466
Mario Dorgeles,Côte d'Ivoire,CAM,17,59,75,Nordsjælland,0.55,1537
Kaare Barslund,Denmark,RB,18,53,73,Nordsjælland,0.24,1249
Mats Lemmens,Belgium,RB,20,59,67,Lecce,0.475,1465
Alan Rodríguez,Uruguay,CAM,22,70,78,Argentinos Juniors,3.6,1774
Serif Berbic,Switzerland,GK,20,54,66,Lugano,0.23,892
Blerim Krasniqi,Albania,LW,25,60,63,Mioveni,0.325,1445
Andrea Sorrentino,Italy,GK,17,53,68,Salernitana,0.19,831
Víctor Blanco Sánchez,Spain,CM,19,60,75,Real Oviedo,0.575,1655
Dembo Sylla,Guinea,LWB,19,62,77,Laval,0.9,1531
Pablo López Gallo,Spain,CB,22,58,69,Lugo,0.425,1356
Jesús Fernández Alonso,Spain,CB,22,61,69,Lugo,0.7,1635
Derensili Sanches Fernandes,Netherlands,LW,21,61,70,FC Utrecht,0.725,1543
Thijs Timmermans,Netherlands,CM,23,58,63,St Patrick's,0.3,1536
Mehdi Bariki,France,RW,22,53,60,Amiens SC,0.19,1338
Tom Stokes,Wales,LW,17,51,67,Newport County,0.15,1298
José David Álvarez Adsuar,Spain,RB,21,61,69,Deportivo Alavés,0.7,1461
Alejandro Ramos Rodríguez,Spain,CM,22,56,65,Lugo,0.325,1559
Anthony Carter,Australia,ST,27,59,59,Macarthur,0.24,1423
Will Lakin,England,GK,18,52,67,Peterborough United,0.16,810
Gonzalo Gonzalez,Argentina,RB,19,59,73,Gimnasia La Plata,0.5,1412
Deabeas Owusu-Sekyere,Netherlands,ST,22,61,67,Cangzhou Mighty Lions,0.525,1506
Tze-nam Yue,Hong Kong,RB,24,51,55,Meizhou Hakka,0.08,1257
Saikou Touray,Gambia,CAM,22,59,68,Grenoble Foot 38,0.5,1553
Diego César de Oliveira,Brazil,CDM,28,59,60,Helsingborg,0.22,1525
Pablo Cuñat Campos,Spain,GK,20,63,74,Levante,0.9,968
Bjørn Martin Kristensen,Norway,ST,20,60,72,Aalesund,0.6,1555
Enzo Luna,Argentina,RW,20,63,71,Huracán,1.1,1626
Gonçalo Pinto,Portugal,GK,22,62,68,Chaves,0.525,930
Ibrahim Al Ali,Saudi Arabia,LB,21,53,63,Al Tai,0.2,1357
William Sandford,Sweden,CM,20,57,72,St. Johnstone,0.375,1482
Peter Makrillos,Australia,CM,26,60,61,GIF Sundsvall,0.3,1557
Bryan González,Chile,RM,19,62,77,Universidad Católica,0.95,1577
Fabricio Mariaca,Bolivia,CM,20,57,67,Wilstermann,0.35,1459
Kevin Ortiz,Argentina,CM,21,66,77,Rosario Central,1.8,1717
Juan Cruz Cerrudo,Argentina,LM,18,60,74,Rosario Central,0.575,1499
El Mehdi Moubarik,Morocco,CDM,21,67,76,Al Ain,2.2,1713
Miguel Ángel Sanz Campos,Spain,GK,19,59,72,Huesca,0.475,1014
Ali Demirel,Turkey,CAM,19,60,68,Kasımpaşa,0.525,1554
Rildo G. de Amorim Filho,Brazil,CAM,22,69,77,Santa Clara,3.1,1682
Saúl del Cerro García,Spain,CDM,18,61,71,Burgos,0.7,1603
Javier López-Pinto Dorado,Spain,RM,20,65,74,Burgos,1.6,1596
Pol Bassa Mora,Spain,LB,19,61,69,Burgos,0.675,1545
Yasin Özcan,Turkey,CB,16,59,77,Kasımpaşa,0.55,1372
Abdulkadir Taşdan,Turkey,GK,19,55,68,Kayserispor,0.25,847
Francis Nzaba,Congo,CB,19,59,72,İstanbul Başakşehir,0.5,1455
Tomás Cáceres,Argentina,RM,22,61,67,Patronato,0.525,1621
Metehan Baltacı,Turkey,CB,19,60,73,Galatasaray,0.55,1372
Valentín Pereyra,Argentina,LM,20,60,67,Patronato,0.475,1525
Casper Eklund,Sweden,CB,18,55,74,Hammarby,0.3,1334
Edoardo Piana,Italy,GK,18,53,63,Udinese,0.17,842
Felix Lange,Germany,CB,18,59,74,VfL Wolfsburg,0.5,1390
Igor Lucatelli,Italy,GK,18,51,62,Benevento,0.11,817
Dion Drena Beljo,Croatia,ST,20,71,80,FC Augsburg,4.1,1621
Edoardo Corvi,Italy,GK,21,55,62,Parma,0.22,941
Abdulkerim Çakar,Germany,LM,21,67,74,Gaziantep F.K.,2.1,1683
Edmilson Dove,Mozambique,CB,27,70,70,Kaizer Chiefs,1.5,1776
Fabricio Quaglio,Bolivia,ST,18,52,64,The Strongest,0.18,1347
Luis Zeballos,Bolivia,CM,20,57,65,Oriente Petrolero,0.35,1456
Andres Moreno,Bolivia,CB,19,53,69,Royal Pari,0.23,1244
Berkan Küpelikılınç,Germany,RB,19,59,72,Gaziantep F.K.,0.5,1502
Josué Escartin,France,CB,19,62,79,Brest,0.975,1456
Ivan Prtajin,Croatia,ST,26,67,68,Wehen Wiesbaden,1.2,1596
Lalchungnunga Lalchungnunga,India,LB,21,54,64,East Bengal,0.23,1380
Gabriel Fernandes Castro,Portugal,CB,21,57,65,GIF Sundsvall,0.35,1383
Andrea Oliveri,Italy,RW,19,60,74,Frosinone,0.575,1524
Miguel Sánchez Tabares,Colombia,GK,19,63,75,Deportivo Cali,1,958
João Marcos Lima Cândido,Brazil,ST,22,63,72,Santa Clara,1.1,1491
Oliwier Zych,Poland,GK,18,57,76,Aston Villa,0.375,848
Imanol Baz Berganza,Spain,CB,21,61,70,Deportivo Alavés,0.7,1390
Daniel González García,Spain,CAM,20,57,71,Racing Santander,0.4,1526
Karl Edouard Etta Eyong,Cameroon,CM,18,61,74,Cádiz,0.725,1493
Ben Engdahl,Sweden,RB,18,56,73,Nordsjælland,0.35,1391
Lucas Ziegler,Denmark,GK,18,53,72,Brøndby,0.21,847
Jeison Domínguez,Ecuador,LB,26,64,65,Delfin,0.625,1532
Nicola Bagnolini,Italy,GK,18,55,73,Bologna,0.275,933
Brent Vugts,Netherlands,LM,20,59,69,Excelsior,0.5,1454
Ethon Varian,Republic of Ireland,ST,20,55,62,Bohemians,0.25,1353
Jeppe Ørris Nielsen,Denmark,GK,18,54,72,Randers,0.24,845
Christie Ward,England,CB,18,55,70,Wycombe Wanderers,0.3,1587
Arnold Matshazi,England,ST,18,53,63,Wycombe Wanderers,0.2,1336
Benjamin Faraas,Norway,CM,16,55,75,HamKam,0.35,1429
Filipe Sissé,Portugal,RM,21,58,68,Varberg BoIS,0.45,1526
Emmanuel Pavlis,Australia,RW,19,61,75,Chaves,0.775,1674
Gontie Junior Diomandé,Côte d'Ivoire,RM,19,56,69,Ried,0.35,1447
Marco Moreno Ojeda,Spain,CB,21,62,74,Atlético Madrid,0.925,1401
Pau Casadesús Castro,Spain,RB,19,58,71,FC Andorra,0.475,1436
Amar Muhsin,Sweden,ST,24,61,65,Helsingborg,0.475,1405
Ben Schlicke,Germany,CB,16,54,77,SpVgg Greuther Fürth,0.325,1224
Simon Ebonog,France,LM,17,55,79,Le Havre,0.4,1338
Ali Al Shaefi,Saudi Arabia,LB,20,52,64,Al Khaleej,0.18,1333
Hatim Al Najai,Saudi Arabia,RB,21,51,61,Al Khaleej,0.13,1285
Ali Abdulraouf,Saudi Arabia,ST,18,50,68,Al Khaleej,0.12,1278
Steve Ngoura,France,ST,17,54,76,Le Havre,0.35,1280
Élysée Logbo,France,ST,18,55,75,Le Havre,0.35,1343
Floris Smand,Netherlands,CB,19,62,71,SC Cambuur,0.8,1369
Alfie Bridgman,Malta,CAM,18,52,69,Portsmouth,0.2,1407
Raphaël Eyongo,Netherlands,CAM,19,59,70,Excelsior,0.5,1527
Edvin Austbø,Norway,LW,17,56,78,Viking,0.45,1401
Iván San José Cantalejo,Spain,CM,18,64,79,Real Valladolid,1.4,1550
Fredrik Pålerud,Norway,RB,28,61,61,Sandefjord,0.3,1533
Pim Saathof,Netherlands,CM,18,56,74,Go Ahead Eagles,0.35,1552
Robbin Weijenberg,Netherlands,CM,17,58,70,Go Ahead Eagles,0.475,1542
Aldair Neves Paulo Faustino,Portugal,RM,22,64,72,Ponferradina,1.3,1587
Juan María Alcedo Serrano,Spain,LB,21,62,68,Albacete,0.6,1503
Matías Cedrés Batista,Spain,RM,22,60,69,Tenerife,0.525,1667
Axel Bordón,Argentina,RWB,26,64,67,Barracas Central,0.7,1567
Alex Juárez,Argentina,CM,17,61,69,Barracas Central,0.675,1607
Tuncer Duhan Aksu,Turkey,LWB,24,60,65,İstanbulspor,0.35,1447
Marin Ljubic,Croatia,GK,24,54,59,İstanbulspor,0.13,922
Abdullah Dijlan Aydın,Turkey,CAM,22,60,66,İstanbulspor,0.4,1600
Emir Kaan Gültekin,Turkey,LM,21,62,68,İstanbulspor,0.65,1538
Kağan Miray Bağış,Turkey,RW,24,61,67,İstanbulspor,0.525,1591
Bernardo Martins Sousa,Portugal,RW,22,67,72,Chaves,1.6,1670
Philip Rejnhold,Denmark,CB,26,61,62,Helsingborg,0.35,1502
Julio Augusto Dabo,Guinea Bissau,LWB,19,61,78,Boavista,0.825,1463
Pedro Injai Gomes,Portugal,CB,19,60,74,Boavista,0.55,1335
Joel Filipe Organista da Silva,Portugal,CM,19,60,71,Boavista,0.525,1616
Abasa Aremeyaw,Ghana,CB,18,54,70,Philadelphia Union,0.25,1287
Martim Miguel Carneiro Tavares,Portugal,ST,18,63,80,Boavista,1.2,1506
Ange Chibozo,Benin,ST,19,61,77,Amiens SC,0.85,1528
Simon Becher,United States,ST,22,57,63,Vancouver Whitecaps,0.275,1311
Otabek Shukurov,Uzbekistan,CDM,26,70,73,Fatih Karagümrük,2.1,1926
Adriano Firmino da Silva,Brazil,CM,22,66,75,Santa Clara,1.8,1660
Paulo Eduardo Ferreira Godinho,Brazil,CB,20,63,75,Santa Clara,1.1,1402
Ivan Krolo,Croatia,CM,19,59,76,Hajduk Split,0.55,1518
Khalil Fayad,France,CM,18,60,78,Montpellier,0.625,1555
Richard Odada,Kenya,CM,21,52,61,Philadelphia Union,0.17,1376
Fernando Ruiz Díaz,Paraguay,ST,20,57,67,Sol de América,0.375,1346
Almoatasim Siddiq,Saudi Arabia,LM,20,53,63,Al Ittihad,0.21,1315
Remi van Ekeris,Netherlands,CM,19,59,71,FC Emmen,0.525,1502
Max Wolfs,Netherlands,GK,20,56,66,FC Emmen,0.275,827
Wouter Sibon,Netherlands,GK,18,55,67,FC Emmen,0.25,862
Julian Renner,Germany,GK,19,56,70,AS Eupen,0.3,970
Carlos Miguel Pereira Fernandes,Portugal,CM,31,67,67,Casa Pia,0.725,1804
Joarlem Batista Santos,Brazil,ST,27,65,65,Chaves,0.775,1599
Tonni Adamsen,Denmark,ST,27,66,66,Silkeborg,0.925,1627
Victor Gabriel Moura de Oliveira,Brazil,CDM,22,65,73,Arouca,1.6,1775
Milan Kvocera,Slovakia,RM,24,59,62,Wisła Płock,0.3,1546
Daniel Håkans,Finland,RW,21,64,74,Vålerenga,1.3,1547
Andriy Kulakov,Ukraine,ST,23,62,69,Shakhtar Donetsk,0.8,1449
Mohammed Al Dawsari,Saudi Arabia,GK,22,52,58,Al Taawon,0.1,862
Abubeker Nasir,Ethiopia,LW,22,66,75,Mamelodi Sundowns,1.9,1529
Sifiso Ngobeni,South Africa,LB,25,64,69,Mamelodi Sundowns,0.8,1537
Katlego Mohamme,South Africa,LB,24,60,67,Mamelodi Sundowns,0.45,1494
Sam Heal,England,LB,19,54,63,Bristol Rovers,0.22,1363
Dirk Asare,Belgium,CDM,17,54,72,Mechelen,0.25,1446
Abdullah Nahar Al Shammari,Saudi Arabia,CM,20,52,64,Al Tai,0.18,1400
Matty MacArthur,Australia,CAM,17,54,72,Gillingham,0.275,1359
Emmanuel Danso,Ghana,CM,21,57,67,Strømsgodset,0.375,1469
Rareș Bălan,Romania,CB,22,59,67,CFR Cluj,0.475,1337
Rareș Gal,Romania,GK,21,55,64,CFR Cluj,0.25,821
Roberto Voican,Romania,CM,19,53,66,Voluntari,0.22,1428
Alex Munteanu,Romania,LW,20,52,63,Voluntari,0.18,1340
Daniel Paraschiv,Romania,GK,19,53,64,Voluntari,0.17,862
Hamza Yiğit Akman,Turkey,CM,17,61,79,Galatasaray,0.825,1646
Rareș Pop,Romania,LM,17,61,78,UTA Arad,0.825,1452
Ákos Nistor,Romania,CAM,17,55,72,Sepsi,0.325,1391
Alexandru Florescu,Romania,ST,20,52,61,Argeş,0.18,1307
Denis Rența,Romania,CDM,18,52,66,Sepsi,0.17,1375
Iulian Zamfir,Romania,CM,18,50,67,Chindia Târgovişte,0.12,1397
Andreș Brînzea,Romania,GK,16,50,69,Chindia Târgovişte,0.1,817
Denis Benga,Romania,LWB,16,55,73,Universitatea Craiova,0.3,1369
Matei Moraru,Romania,RW,16,50,72,Universitatea Cluj,0.15,1375
Cosmin Bucuroiu,Romania,CAM,18,54,69,Hermannstadt,0.25,1358
Ioan Tolea,Romania,CM,19,52,67,Petrolul 52,0.19,1525
Bogdan Filip,Romania,CM,22,53,62,Botoşani,0.21,1475
Șerban Tomache,Romania,GK,18,51,68,Botoşani,0.13,860
Andrei Ioniță,Romania,ST,18,53,70,Rapid Bucuresti,0.24,1309
David Iordache,Romania,CM,17,51,69,Rapid Bucuresti,0.15,1464
Hristu Sofianu,Romania,CAM,18,51,67,U Craiova 1948,0.15,1299
Cătălin Albu,Romania,CAM,18,51,66,U Craiova 1948,0.14,1385
Victor Akinwale,England,ST,17,56,76,Crystal Palace,0.4,1418
Antonio Gomis Alemañ,Spain,GK,19,63,78,Atlético Madrid,1,1032
Juan David Perea,Colombia,RM,20,61,76,Leganés,0.8,1537
Lameck Banda,Zambia,LW,21,68,78,Lecce,2.7,1653
Giuseppe Ciocci,Italy,GK,22,54,61,Cagliari,0.19,844
Mattia Ciucci,Italy,CB,19,57,68,Lecce,0.325,1343
Luca Sonzogni,Italy,GK,17,55,70,Brescia,0.25,903
Christian Schmidt,Germany,CAM,20,52,61,Jahn Regensburg,0.18,1273
Samuel Giovane,Italy,CDM,19,59,73,Ascoli,0.525,1706
Omar Megeed,Egypt,CAM,16,58,78,Hamburger SV,0.55,1412
Bryant Nieling,Netherlands,CB,19,62,74,Fortuna Sittard,0.875,1363
Arbnor Muja,Kosovo,LM,23,70,75,Antwerp,2.4,1842
Mamadou Mbaye,Senegal,CB,24,68,75,Cádiz,2.2,1500
Onel Acosta,Colombia,LB,22,63,72,Deportivo Cali,1,1592
Divin Mubama,England,ST,17,56,74,West Ham United,0.35,1446
Talha Ülvan,Turkey,LB,21,57,65,Giresunspor,0.35,1461
Jack Carter,England,RB,17,52,64,Forest Green Rovers,0.17,1390
Murphy Bennett,Wales,CB,17,51,65,Forest Green Rovers,0.12,1310
Jacob Jones,Wales,LWB,20,55,64,Forest Green Rovers,0.275,1501
Owen Bevan,Wales,CB,18,57,69,AFC Bournemouth,0.35,1370
Noah Raveyre,France,GK,17,56,74,Saint-Étienne,0.325,872
Benni Smales-Braithwaite,England,ST,20,54,60,Barrow,0.17,1327
Rakshit Dagar,India,GK,29,52,52,Jamshedpur,0.05,861
Muhammed Uvais,India,CB,23,55,59,Jamshedpur,0.17,1369
Mustafa Can Karagöz,Turkey,CDM,20,57,66,Ümraniyespor,0.35,1585
Samuel Nongoh,Cameroon,LW,18,61,74,Adana Demirspor,0.75,1542
Fatih Yiğit Şanlıtürk,Turkey,CAM,19,61,70,Ümraniyespor,0.7,1639
Mehdi Baaloudj,Algeria,ST,21,53,60,Guingamp,0.19,1275
Manu Agro,France,GK,20,53,61,Sochaux,0.18,811
Skelly Alvero,France,CDM,20,54,64,Sochaux,0.22,1405
Eliezer Mayenda,Spain,ST,17,53,76,Sochaux,0.3,1301
Djamal Moussadek,Morocco,CB,20,55,65,Le Havre,0.25,1228
Yoni Gomis,France,CB,16,53,79,Le Havre,0.35,1233
Hussain Furayj,Saudi Arabia,CB,19,51,63,Al Khaleej,0.13,1209
Tommy McDermott,England,CAM,17,55,66,Port Vale,0.25,1474
Hussain Habib,Saudi Arabia,CM,22,53,61,Al Khaleej,0.21,1431
Noa Savignac,France,LM,19,59,73,Rodez,0.525,1464
Eyad Al Nasser,Saudi Arabia,GK,19,51,62,Al Khaleej,0.11,875
Josh Blunkell,England,GK,18,52,61,Wycombe Wanderers,0.14,918
Rubén Lezcano,Paraguay,CM,18,61,77,Libertad,0.825,1556
Emre Topçu,Turkey,CM,16,54,70,Drogheda United,0.275,1512
Stevan Stanic-Floody,Australia,LM,18,52,59,Drogheda United,0.15,1370
Nathaniel Adjei,Ghana,RB,19,57,72,Hammarby,0.375,1354
Aridon Racaj,Norway,ST,17,53,73,Sarpsborg 08,0.25,1333
Nic Bollado,England,ST,17,51,67,Carlisle United,0.15,1371
Max Ejdum,Denmark,CM,17,55,70,OB,0.275,1467
Aske Adelgaard,Denmark,LB,18,58,72,OB,0.45,1384
Maksim Stjopin,Finland,CAM,19,56,71,HJK,0.35,1380
Evan Haddock,Republic of Ireland,CB,16,50,60,Drogheda United,0.09,1203
Thomas Rekdal,Norway,CM,21,58,69,Odd,0.45,1583
Dylan Molloy,Republic of Ireland,RB,18,50,59,Drogheda United,0.09,1241
Ulrik Syversen,Norway,CB,19,53,68,Aalesund,0.21,1248
Ali Al Jassim,Saudi Arabia,ST,21,51,60,Al Fateh,0.13,1261
Sean Jones-Carey,Republic of Ireland,RWB,18,52,63,Shamrock Rovers,0.16,1312
Kailin Barlow,Republic of Ireland,CAM,19,54,66,Sligo Rovers,0.25,1523
Bartłomiej Jelonek,Poland,GK,20,51,61,Piast Gliwice,0.11,865
Bartosz Łuczak,Poland,CM,19,51,62,Piast Gliwice,0.13,1412
Jakub Niedbała,Poland,CM,18,52,62,Piast Gliwice,0.17,1438
Stanisław Wawrzynowicz,Poland,CDM,23,59,65,Pogoń Szczecin,0.325,1509
Jakub Rajczykowski,Poland,GK,17,52,72,Raków Częstochowa,0.19,826
Igor Strzałek,Poland,CAM,18,56,72,Legia Warszawa,0.35,1462
Oskar Lodziński,Poland,GK,18,51,62,Wisła Płock,0.11,826
Wojciech Łaski,Poland,RWB,22,56,61,Jagiellonia Białystok,0.2,1546
Mateusz Letkiewicz,Poland,CB,18,55,66,Miedź Legnica,0.25,1372
Pierre Bolchini,Italy,GK,23,62,70,Como,0.775,880
Devin Padelford,United States,CB,19,50,60,Minnesota United,0.1,1301
Tani Oluwaseyi,Nigeria,RW,22,55,62,Minnesota United,0.25,1371
Ahmed Longmire,United States,CB,22,54,65,Nashville SC,0.23,1228
Matthew Connelly,Scotland,GK,19,52,69,Motherwell,0.18,840
Will Meyer,United States,GK,24,54,58,Nashville SC,0.12,848
Gavin Beavers,United States,GK,17,53,75,Real Salt Lake,0.275,813
Jude Wellings,United States,CAM,16,50,69,Real Salt Lake,0.11,1320
Zac Guinan,England,ST,18,52,70,Cheltenham Town,0.2,1277
Noah Naujoks,Netherlands,ST,20,61,74,Excelsior,0.8,1664
Sergio Díez Roldán,Spain,CB,18,61,76,Atlético Madrid,0.725,1610
Derek Agyakwa,Netherlands,CB,20,57,64,Port Vale,0.3,1267
James Plant,England,CM,18,51,65,Port Vale,0.13,1299
Tao Sako,France,LB,19,54,64,Niort,0.22,1270
Marius Ros,France,RWB,20,60,69,Pau,0.525,1451
Jerry Lawrence,England,CM,17,52,66,Bristol Rovers,0.18,1454
Cristhian Ocampos,Paraguay,ST,22,64,72,Nacional Asunción,1.3,1468
Nawaf Al Suhaymi,Saudi Arabia,LW,27,53,53,Al Batin,0.1,1407
Gilles Richard,Switzerland,CB,19,57,70,Sion,0.375,1316
Abdulaziz Al Yousef,Saudi Arabia,ST,19,51,67,Al Adalah,0.15,1285
Pedro Henrique Rodrigues Bicalho,Brazil,CDM,21,64,77,Santa Clara,1.4,1771
Tijany Atallah,Algeria,RB,19,57,72,Bordeaux,0.375,1320
Lenny Pirringuel,France,CM,18,57,71,Bordeaux,0.375,1495
Lucas Rocrou,France,ST,19,56,67,Bordeaux,0.3,1414
Billy van Duijl,Netherlands,CB,16,58,75,FC Volendam,0.475,1316
Imran Nazih,Morocco,CAM,16,59,73,FC Volendam,0.525,1531
Kayne van Oevelen,Netherlands,GK,18,54,69,FC Volendam,0.22,841
Mohammed Furaih,Saudi Arabia,CM,22,51,60,Al Batin,0.13,1307
Alexandru Petre,Romania,CM,17,51,65,Chindia Târgovişte,0.13,1440
Tobias Storm,Denmark,CB,17,55,75,Lyngby,0.35,1534
Lassana Sy,France,GK,18,57,68,Valenciennes,0.3,853
Darijo Grujcic,Austria,CB,23,60,68,Austria Lustenau,0.5,1298
Angelo Bačić,Austria,CM,18,53,68,Austria Lustenau,0.22,1444
Clayton Fernandes Silva,Brazil,ST,23,69,73,Casa Pia,2,1649
Ruben Correia,Switzerland,LB,22,52,59,Sion,0.15,1285
Abdel Zagré,Burkina Faso,ST,18,50,68,Sion,0.12,1253
Kevin Halabaku,Switzerland,RM,20,55,63,Sion,0.275,1351
Alejandro Barbudo Lorenzo,Spain,CB,21,63,70,Mirandés,0.9,1373
Moritz Berg,Germany,CAM,18,56,69,Austria Klagenfurt,0.325,1521
Nikola Djorić,Serbia,CB,22,61,68,Austria Klagenfurt,0.625,1354
Shaoziyang Liu,China PR,GK,18,58,72,Austria Klagenfurt,0.4,840
Martin Koscelnik,Slovakia,RWB,27,66,66,Rapid Wien,0.825,1704
Nicolas Binder,Austria,ST,20,60,69,Austria Klagenfurt,0.55,1461
Nikolas Sattlberger,Austria,CDM,18,58,74,Rapid Wien,0.5,1452
Adam Stejskal,Czech Republic,GK,20,60,74,Salzburg,0.525,866
Justin Omoregie,Austria,CM,18,58,78,Salzburg,0.55,1631
Cem Üstündag,Austria,CM,21,55,64,WSG Tirol,0.275,1508
Nik Prelec,Slovenia,ST,21,65,75,Cagliari,1.6,1491
Leandro Frroku,Albania,CDM,18,55,73,Panathinaikos,0.3,1514
Nikoloz Kutateladze,Georgia,CAM,21,60,68,Rodez,0.55,1513
Jocelyn Janneh,Sierra Leone,CDM,19,56,65,Bastia,0.3,1536
Ayush Dev Chhetri,India,CM,19,53,64,Goa,0.19,1396
Bhaskar Roy,India,GK,28,52,54,Mumbai City,0.07,852
Patrick Nuamah,Italy,CAM,16,58,80,Brescia,0.625,1719
